timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
232060855,231961610,0.0032387574,0.023563001,0.038169608,1114775,0,0.32277545,0.39233136,0.50915426,0.096527584,0.016294809,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
232258298,232159169,0.0039060959,0.008931509,0.018093327,1114775,0,0.3391346,0.39561218,0.504718,0.096527584,0.016294809,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
232455935,232356728,0.0041876826,0.0050507183,0.012152099,1114775,0,0.33859104,0.39701554,0.4693512,0.05909691,0.018151382,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
232653403,232554287,0.0033038768,0.004481457,0.00925419,1114775,0,0.3380044,0.39585802,0.4612997,0.06519465,0.016262978,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
232850998,232751845,0.003842738,0.006344005,0.012864979,1114775,0,0.33743128,0.39723453,0.44297457,0.07045659,0.015856802,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
233058430,232959282,0.003955873,0.0068576084,0.013982126,1114775,0,0.3377343,0.3967608,0.4267091,0.06717188,0.013432826,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
233255939,233156841,0.0030605637,0.0085682385,0.0166856,1114775,0,0.33720738,0.39563859,0.4263454,0.10894757,0.013478388,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
233453529,233354400,0.0035492622,0.0039858078,0.01555744,66199,0,0.33671513,0.39453113,0.40916333,0.07453952,0.013365291,0.031364292,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
233661027,233561837,0.0035640188,0.0077740033,0.030066026,66199,0,0.33706245,0.39663655,0.37115166,0.06858744,0.014070987,0.020609967,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
233858490,233759395,0.0027687834,0.011720217,0.047213614,66199,0,0.33657476,0.39554262,0.38323826,0.10044593,0.012460579,0.04035315,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
234056082,233956954,0.0034127343,0.007569224,0.038359124,66199,0,0.3361359,0.39446154,0.39903253,0.05378425,0.01212662,0.020654878,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
234253613,234154513,0.0025467384,0.01009451,0.039252862,66199,0,0.3357244,0.39590165,0.36345777,0.029708665,0.013588385,0.029000362,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
234461045,234361950,0.002674991,0.010306987,0.034073833,66199,0,0.3362026,0.39548692,0.3666713,0.046191532,0.010352408,0.030180622,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
